"PUBID","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH"
163,-4,-5,-5,-4,-5,-4,-4,-5,-5,-4,-4,-5,-5,-4,-4,-4,-4
164,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,1,1,1,1
165,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,2,3,3,3
166,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
167,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
168,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5
169,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,2,-3,2,0,0
170,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
171,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,2,2
172,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
173,-4,-4,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
174,-4,-4,-4,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
175,-4,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,-4,-5,-5,-5,-5,-5
176,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1
177,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,2
178,-4,-5,-4,-5,-5,-5,-5,-4,-4,-4,-4,-5,-4,-4,-4,1,2
179,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
180,-4,-4,-4,-5,-5,-5,-4,-4,-4,-4,-4,-5,-4,1,1,2,3
181,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
182,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1
183,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
184,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5
185,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5
186,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
